,JOBSIDX,DUPERSID,JSTRTM,JSTRTY,JSTOPY,SUBTYPE,WHY_LEFT_M18,YEARSWORKED,JOBCHANGE
count,3975.0,3975.0,3975.0,3975.0,3975.0,3975.0,3975.0,3975.0,3975.0
mean,23070534094540.684,2307053409.1127043,2.9657861635220124,2013.629685534591,2017.8716981132075,3.1328301886792453,25.760754716981133,4.242012578616352,1.0
std,150322307646.64844,15032230.832818951,4.561367801989082,7.342044044173435,0.4972410134931857,0.33943381481446844,36.03259818960979,7.338826569352805,0.0
min,22900011013101.0,2290001101.0,-8.0,1961.0,2013.0,3.0,-8.0,0.0,1.0
25%,22941661024101.5,2294166102.0,-1.0,2014.0,2018.0,3.0,4.0,1.0,1.0
50%,22981151023103.0,2298115102.0,1.0,2016.0,2018.0,3.0,9.0,1.0,1.0
75%,23236726017101.0,2323672601.5,7.0,2017.0,2018.0,3.0,10.0,4.0,1.0
max,23296871023102.0,2329687102.0,12.0,2018.0,2019.0,4.0,91.0,55.0,1.0
