,JOBSIDX,DUPERSID,JSTRTM,JSTRTY,JSTOPY,SUBTYPE,WHY_LEFT_M18,YEARSWORKED,JOBCHANGE
count,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0
mean,23142333614855.895,2314233361.1289473,4.386842105263158,2017.4184210526316,2018.0894736842106,3.055263157894737,18.373684210526317,0.6710526315789473,0.0
std,144883416556.7944,14488341.74985341,3.348742216729495,2.637496540598007,0.28580255346918165,0.22879444106972543,29.759588013597654,2.7082798769111176,0.0
min,22900271034104.0,2290027103.0,-8.0,1990.0,2018.0,3.0,-8.0,0.0,0.0
25%,22966066037604.25,2296606603.25,2.0,2018.0,2018.0,3.0,4.0,0.0,0.0
50%,23219731022652.0,2321973102.0,5.0,2018.0,2018.0,3.0,8.0,0.0,0.0
75%,23258863525602.75,2325886352.25,7.0,2018.0,2018.0,3.0,10.0,0.0,0.0
max,23296411053103.0,2329641105.0,11.0,2018.0,2019.0,4.0,91.0,29.0,0.0
